tactic_id,platform,native_name,marketing_campaign,spend_owner,notes
1,LinkedIn,Matt Product Catalog Videos,IM&D Ascend,Y,
2,LinkedIn,Your Best Engineers are Keeping the Lights On - Article,IM&D Ascend,Y,
3,LinkedIn,Manufacturing Ascend Midfunnel DY,IM&D Ascend,Y,
4,LinkedIn,Distributor Ascend Midfunnel DY,IM&D Ascend,Y,
5,LinkedIn,Ascend Retargeting - Conversion,IM&D Ascend,Y,
6,LinkedIn,Matt Articles,IM&D Ascend,Y,
7,LinkedIn,Dan - $1T Ecommerce Line Item,Retail AIS,Y,
8,LinkedIn,AIS Midfunnel DY,Retail AIS,Y,
9,LinkedIn,Retail AIS Awareness Ads,Retail AIS,Y,
10,LinkedIn,Dan - How Open Should Your Site Be,Retail AIS,Y,
11,LinkedIn,Carousel Ad,Stibo M&A Mfg ABM,Y,
12,LinkedIn,M&A Playbook Doc Ads,Stibo M&A Mfg ABM,Y,
13,LinkedIn,ACES/PIES Guide Doc Ad,ACES/PIES Thought Leadership,Y,
14,LinkedIn,[SABM] Closed-Lost Integration S Boost Single Image,IM&D Closed-Lost Recovery,Y,
15,LinkedIn,[SABM] Closed-Lost Integration S Boost Carousel,IM&D Closed-Lost Recovery,Y,
16,Google Ads,Ascend Catalog Pro - Product Catalog Managed Services,IM&D Ascend,Y,
17,Google Ads,Agentic Integration Services,Retail AIS,Y,
18,Amplemarket (Signal),AIS intent retail,Retail AIS,N,
19,Amplemarket (Signal),[Retail] Agentic Search Lane,Retail Automated Buying Signal Outreach,N,
20,Amplemarket (Signal),Engaged with a post about Shoptalk,[Event] Shoptalk 2026,N,
21,Amplemarket (Signal),High Ascend intent from LinkedIn Ads,IM&D Ascend,N,
22,Amplemarket (Std),B2B Online,[Event] B2BOnline 2026,N,
23,Amplemarket (Std),Canadian STIBO,Stibo M&A Mfg ABM,N,
24,Amplemarket (Std),[SABM] Closed Lost Recovery,IM&D Closed-Lost Recovery,N,
25,Amplemarket (Std),Fireside Chat,Manufacturing Dive Fireside Chat,N,
26,Amplemarket (Std),Copy of [Matt] B2BOnline Boat LI Outreach,[Event] B2BOnline 2026,N,
27,Amplemarket (Std),[V2 SAM] B2BOnline Boat LI Outreach,[Event] B2BOnline 2026,N,
28,Amplemarket (Std),Applied AI LinkedIn Connect,[Event] DSG Applied AI 2026,N,
29,Amplemarket (Std),B2B Online Follow up,[Event] B2BOnline 2026,N,
30,Web Asset,/ascend,IM&D Ascend,N,Campaign landing page
31,Web Asset,/ais,Retail AIS,N,Campaign landing page
32,Web Asset,/ma-data-strategy-call,Stibo M&A Mfg ABM,N,Campaign landing page
33,HubSpot Seq,Customer Integrations Sequence  (Casey),Customer AIS,N,
34,HubSpot Seq,[V2 Draft - Copy] Customer Integrations Sequence,Customer AIS,N,
35,HubSpot Seq,Autocare: Plaude,[Event] Autocare Connect 2026,N,
36,HubSpot Seq,Autocare Manual,[Event] Autocare Connect 2026,N,
